frame,time_s,left_depth_m,center_depth_m,right_depth_m,altitude_m,forward_speed_mps,min_depth_m,collision_risk,avoidance_action
0.0,0.0,12.0,10.5,11.4,8.0,3.2,10.5,0.0,keep_course
1.0,0.2,11.2,8.8,10.9,8.1,3.4,8.8,0.0,keep_course
2.0,0.4,10.4,6.9,10.1,8.3,3.6,6.9,0.0,keep_course
3.0,0.6,9.8,4.6,9.7,8.4,3.8,4.6,0.076,keep_course
4.0,0.8,8.5,3.2,9.4,8.5,4.0,3.2,0.36,slow_down
5.0,1.0,7.0,2.1,9.2,8.5,4.0,2.1,0.58,turn_right
6.0,1.2,5.8,1.7,9.0,8.4,3.8,1.7,0.627,turn_right
7.0,1.4,4.5,2.4,8.8,8.2,3.5,2.4,0.455,turn_right
8.0,1.6,3.8,3.5,8.5,8.0,3.2,3.5,0.24,keep_course
9.0,1.8,4.6,5.5,8.1,7.8,3.0,4.6,0.06,keep_course
10.0,2.0,6.2,7.2,7.6,7.7,3.1,6.2,0.0,keep_course
11.0,2.2,8.4,8.8,7.0,7.8,3.2,7.0,0.0,keep_course
