time_s,signal_phase,ego_lane_queue,opposite_lane_queue,arrival_rate_vpm,departed_vehicles,mean_wait_s,queue_total,pressure_score,predicted_delay_s,signal_action
0.0,red,3.0,2.0,5.0,0.0,4.0,5.0,18.0,15.33,keep_cycle
5.0,red,5.0,3.0,5.4,0.0,9.0,8.0,24.64,25.204,keep_cycle
10.0,red,8.0,4.0,5.8,0.0,15.0,12.0,33.28,37.748,prepare_green
15.0,red,11.0,5.0,6.0,0.0,22.0,16.0,41.6,51.0,extend_green
20.0,green,13.0,6.0,6.2,3.0,25.0,19.0,28.92,51.264,extend_green
25.0,green,11.0,5.0,5.8,6.0,22.0,16.0,25.28,42.873,prepare_green
30.0,green,8.0,4.0,5.4,9.0,16.0,12.0,20.64,30.521,keep_cycle
35.0,green,5.0,3.0,4.8,11.0,10.0,8.0,15.68,18.46,keep_cycle
40.0,yellow,4.0,3.0,4.5,12.0,8.0,7.0,18.05,16.098,keep_cycle
45.0,red,5.0,4.0,5.1,12.0,11.0,9.0,26.16,23.696,keep_cycle
50.0,red,8.0,5.0,5.7,12.0,18.0,13.0,35.12,37.172,prepare_green
55.0,red,12.0,7.0,6.4,12.0,27.0,19.0,48.24,56.044,extend_green
60.0,green,15.0,8.0,6.8,15.0,31.0,23.0,33.88,57.691,extend_green
65.0,green,13.0,7.0,6.2,19.0,25.0,20.0,29.92,46.325,prepare_green
70.0,green,9.0,5.0,5.3,23.0,17.0,14.0,22.48,28.65,keep_cycle
75.0,green,6.0,4.0,4.9,26.0,11.0,10.0,17.84,16.299,keep_cycle
80.0,yellow,5.0,4.0,4.6,27.0,9.0,9.0,21.31,14.838,keep_cycle
