time_s,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gps_x_m,gps_y_m,gps_z_m
0.0,0,0,-2,0,0,0,0.01,0.02,-9.80,0.01,0.00,0.01,0.1,-0.1,-2.0
0.5,2,1,-3,4,2,-2,0.20,0.10,-9.65,0.02,0.01,0.02,2.1,1.0,-3.1
1.0,4,2,-4,4,2,-2,0.25,0.18,-9.60,0.03,0.02,0.02,4.3,2.2,-4.0
1.5,6,3,-5,4,2,-2,0.28,0.22,-9.58,0.04,0.03,0.03,6.4,3.1,-5.2
2.0,8,4,-6,4,2,-2,0.32,0.24,-9.55,0.05,0.03,0.04,8.7,4.5,-6.2
2.5,10,5,-7,4,2,-2,0.85,0.70,-9.10,0.14,0.12,0.09,10.9,5.7,-7.1
3.0,12,6,-8,4,2,-2,1.10,0.95,-8.90,0.22,0.18,0.13,13.2,7.1,-8.3
3.5,14,7,-8.5,4,2,-1,0.92,0.78,-9.05,0.18,0.15,0.11,15.1,8.5,-8.7
4.0,16,8,-8.8,4,2,-0.6,0.38,0.30,-9.50,0.07,0.05,0.05,17.0,9.2,-9.0
4.5,18,9,-9,4,2,-0.4,0.35,0.27,-9.55,0.06,0.05,0.04,19.5,10.8,-9.1
5.0,20,10,-9.2,4,2,-0.4,0.40,0.32,-9.45,0.08,0.06,0.05,21.9,12.6,-9.4
5.5,22,11,-9.3,4,2,-0.2,0.75,0.65,-9.20,0.17,0.13,0.10,24.1,14.3,-9.8
