x_m,y_m,source_cluster
10.19,0.784,0
10.876,0.419,0
10.048,0.654,0
10.401,0.852,0
9.628,1.042,0
9.314,0.558,0
10.34,0.306,0
10.251,-0.317,0
10.309,-0.061,0
9.728,1.027,0
10.338,0.684,0
9.43,0.391,0
11.873,0.301,0
9.048,0.926,0
9.544,0.745,0
10.329,0.719,0
9.813,0.195,0
9.403,0.203,0
10.313,0.894,0
9.343,0.751,0
9.178,-0.091,0
10.313,0.584,0
10.232,0.589,0
8.888,1.144,0
18.251,-2.407,1
17.079,-2.612,1
17.49,-2.275,1
19.118,-1.972,1
17.928,-2.172,1
17.926,-1.776,1
16.475,-2.782,1
18.495,-1.906,1
17.933,-2.22,1
16.614,-2.343,1
17.727,-1.972,1
17.351,-2.711,1
16.864,-2.629,1
18.513,-1.898,1
19.509,-2.469,1
18.506,-2.501,1
17.426,-1.734,1
18.056,-2.324,1
17.876,-2.626,1
19.207,-2.118,1
17.219,-2.332,1
18.364,-2.061,1
17.186,-2.005,1
17.451,-2.2,1
8.509,2.651,2
7.479,3.732,2
6.478,3.389,2
7.087,2.961,2
6.513,3.653,2
8.316,3.052,2
6.94,3.449,2
5.912,3.141,2
5.754,3.167,2
8.724,3.1,2
7.064,1.881,2
7.942,3.432,2
7.472,2.487,2
6.905,3.124,2
6.256,2.901,2
7.169,2.902,2
6.421,2.876,2
6.678,3.567,2
7.597,3.057,2
6.839,2.912,2
7.861,3.072,2
7.999,3.107,2
7.634,3.481,2
6.799,3.206,2
25.632,0.383,3
25.131,-0.093,3
25.436,-0.302,3
24.864,0.143,3
27.822,0.293,3
24.974,0.916,3
25.209,-0.102,3
26.194,0.391,3
27.299,0.084,3
26.992,0.032,3
25.108,0.593,3
27.448,0.52,3
26.038,0.258,3
27.656,-0.276,3
27.313,0.763,3
26.205,0.392,3
26.871,0.393,3
26.707,0.133,3
25.581,-0.149,3
27.314,-0.063,3
24.948,0.174,3
26.845,0.412,3
27.447,0.604,3
23.716,-0.272,3
