time_s,left_front_n,right_front_n,left_rear_n,right_rear_n,com_x_m,com_y_m,torso_roll_deg
0.0,118,122,130,126,0.02,0.01,0.5
0.1,115,128,128,124,0.03,0.02,0.8
0.2,109,135,126,121,0.05,0.04,1.3
0.3,98,150,121,116,0.08,0.07,2.4
0.4,82,172,112,105,0.12,0.11,4.8
0.5,66,190,100,92,0.17,0.16,7.2
0.6,54,205,88,82,0.23,0.20,9.5
0.7,72,185,96,90,0.18,0.17,6.8
0.8,96,155,114,106,0.10,0.09,3.1
0.9,112,132,126,119,0.05,0.04,1.4
1.0,121,123,129,127,0.02,0.02,0.6
1.1,126,116,130,124,0.00,-0.01,-0.4
1.2,138,104,134,118,-0.04,-0.05,-1.8
1.3,158,86,140,105,-0.10,-0.11,-4.6
1.4,180,70,148,92,-0.16,-0.18,-7.5
1.5,198,58,156,82,-0.22,-0.24,-10.2
