time_s,sensordata_com_x,sensordata_com_y,sensordata_com_z,cfrc_lf_z,cfrc_rf_z,cfrc_lr_z,cfrc_rr_z,qvel_roll,solver_niter
0.01,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0
0.11,-0.0,-0.0,0.52358,17.75379,17.75379,17.75379,17.75379,0.0,1
0.21,0.0,-0.0,0.52448,19.58176,19.58176,19.58176,19.58176,0.0,1
0.31,0.0,-0.0,0.52449,19.61993,19.61993,19.61993,19.61993,-0.0,1
0.41,-0.0,-0.0,0.52449,19.62,19.62,19.62,19.62,-0.0,1
0.51,0.00259,0.00212,0.52501,83.27986,2.13341,1.87974,1.89862,-0.08175,1
0.61,0.01503,0.00978,0.5294,86.28899,1.79871,1.8946,1.92938,-0.14392,1
0.71,0.0387,0.02117,0.53782,84.66698,1.80949,1.93209,1.9843,-0.24538,1
0.81,0.07162,0.03478,0.54792,72.48144,1.60066,1.49548,1.36196,-0.11299,1
0.91,0.08774,0.03439,0.55071,73.91682,1.60142,1.52202,1.38658,0.19515,1
1.01,0.08489,0.01715,0.54657,72.36807,1.58226,1.51831,1.36051,0.53392,1
1.11,0.0611,-0.00597,0.54143,1.5933,70.98508,1.32983,1.48203,0.21527,1
1.21,0.00848,-0.01585,0.5276,6.70939,7.41628,9.2419,384.66698,0.06092,2
1.31,-0.05886,-0.0291,0.54846,2.03925,1.90723,1.84919,76.42291,0.39334,1
1.41,-0.14443,-0.0596,0.56466,2.19873,2.02985,1.85283,66.92999,0.76325,1
1.51,-0.2558,-0.10828,0.56549,1.59143,1.64518,1.48156,55.42658,0.88922,1
