time_s,q_shoulder,q_elbow,v_shoulder,v_elbow,ctrl_shoulder,ctrl_elbow,instant_power
0.01,0.645562,-0.438798,-0.443765,1.12018,-1.69,0.81,1.657309
0.02,0.637364,-0.418696,-0.819819,2.010226,-1.523144,0.476186,2.205945
0.03,0.625983,-0.391639,-1.138104,2.705684,-1.37021,0.190789,2.075658
0.04,0.611934,-0.359337,-1.404939,3.230168,-1.22922,-0.052641,1.897018
0.05,0.595687,-0.32333,-1.624717,3.600757,-1.099299,-0.25764,2.713748
0.06,0.577676,-0.285013,-1.801079,3.831708,-0.980134,-0.426218,3.398443
0.07,0.558299,-0.245643,-1.937684,3.936956,-0.871579,-0.559855,3.892971
0.08,0.537912,-0.206328,-2.038643,3.931545,-0.773388,-0.66019,4.172228
0.09,0.516826,-0.168007,-2.108635,3.832061,-0.685048,-0.729443,4.239784
0.1,0.495299,-0.131445,-2.152758,3.656221,-0.605726,-0.770564,4.121335
0.11,0.473536,-0.097226,-2.176215,3.421926,-0.534311,-0.787141,3.856314
0.12,0.451697,-0.065764,-2.183952,3.146161,-0.46952,-0.783133,3.489271
0.13,0.429893,-0.037323,-2.180367,2.844073,-0.410029,-0.76255,3.06276
0.14,0.408202,-0.012039,-2.169124,2.528421,-0.354594,-0.729159,2.612778
0.15,0.386671,0.010055,-2.153108,2.209405,-0.302132,-0.686287,2.16681
0.16,0.365326,0.029003,-2.134467,1.894815,-0.251757,-0.636732,1.743856
0.17,0.344179,0.044907,-2.114718,1.590347,-0.202785,-0.582754,1.355613
0.18,0.32323,0.057907,-2.094871,1.3,-0.154714,-0.526129,1.008074
0.19,0.302475,0.068171,-2.075552,1.026452,-0.107194,-0.468232,0.703104
0.2,0.281904,0.075885,-2.057103,0.77139,-0.059991,-0.410115,0.439767
0.21,0.261507,0.081243,-2.039671,0.535769,-0.012964,-0.352582,0.215344
0.22,0.241274,0.084443,-2.023266,0.320012,0.033966,-0.296252,0.163528
0.23,0.221196,0.085684,-2.007805,0.124153,0.08083,-0.2416,0.192286
0.24,0.201265,0.085164,-1.99314,-0.052067,0.127621,-0.188995,0.264207
0.25,0.181474,0.083072,-1.979084,-0.209128,0.17431,-0.138716,0.373984
0.26,0.16182,0.079596,-1.965416,-0.347685,0.220847,-0.090975,0.465686
0.27,0.142301,0.07491,-1.951892,-0.468535,0.267164,-0.04592,0.54299
0.28,0.122919,0.069184,-1.938253,-0.572588,0.313179,-0.003649,0.60911
0.29,0.103676,0.062576,-1.924226,-0.660847,0.3588,0.035793,0.714066
0.3,0.084581,0.055232,-1.90953,-0.734389,0.403921,0.072401,0.824469
0.31,0.065642,0.047289,-1.893882,-0.79434,0.448425,0.106211,0.933632
0.32,0.046872,0.03887,-1.876998,-0.84186,0.492189,0.137296,1.039422
0.33,0.028286,0.030089,-1.858601,-0.878118,0.535082,0.165755,1.140056
0.34,0.009902,0.021046,-1.838425,-0.904275,0.576966,0.191713,1.234071
0.35,-0.00826,0.011831,-1.816222,-0.921464,0.617704,0.215314,1.320292
0.36,-0.026178,0.002524,-1.791761,-0.930775,0.657154,0.236714,1.397791
0.37,-0.043826,-0.006809,-1.764842,-0.933236,0.695179,0.256074,1.465859
0.38,-0.061179,-0.016107,-1.735289,-0.929808,0.731643,0.273562,1.523973
0.39,-0.078209,-0.025321,-1.70296,-0.921368,0.766417,0.289338,1.571765
0.4,-0.094886,-0.034408,-1.667745,-0.908712,0.799379,0.30356,1.609009
0.41,-0.111182,-0.043333,-1.629568,-0.892544,0.830415,0.316373,1.635595
0.42,-0.127066,-0.052068,-1.588387,-0.873483,0.859422,0.327912,1.65152
0.43,-0.142508,-0.060588,-1.544191,-0.852058,0.886306,0.338297,1.656875
0.44,-0.157478,-0.068876,-1.497002,-0.828719,0.910987,0.347636,1.651841
0.45,-0.171946,-0.076914,-1.446872,-0.803835,0.933393,0.356017,1.636679
0.46,-0.185885,-0.084691,-1.39388,-0.777705,0.953466,0.363519,1.611728
0.47,-0.199267,-0.092197,-1.338128,-0.750564,0.97116,0.370201,1.577395
0.48,-0.212064,-0.099423,-1.279741,-0.722591,0.986438,0.376112,1.53416
0.49,-0.224253,-0.106362,-1.218864,-0.693914,0.999276,0.381286,1.482561
0.5,-0.235809,-0.113008,-1.155658,-0.664618,1.009659,0.385747,1.423195
0.51,-0.246712,-0.119355,-1.090297,-0.634756,1.017584,0.389507,1.356711
0.52,-0.256942,-0.125399,-1.022966,-0.60435,1.023055,0.392572,1.283802
