time_s,speed_kmh,motor_temp_c,battery_temp_c,controller_temp_c,smoke_ppm,obstacle_distance_m,road_friction,driver_fatigue,driver_attention,autopilot_confidence,takeover_time_s,efficiency_score,brake_margin_m,stopping_distance_m,thermal_risk,smoke_risk,speed_risk,brake_risk,takeover_risk,efficiency_risk,weighted_risk,max_risk,health_score,level
0.0,43.4266,58.1106,43.7146,50.9993,1.8247,62.77,0.7686,18.636,85.9762,90.1346,2.6771,93.445,50.1047,12.6653,0.0,7.2988,5.2028,0.0,1.4819,6.555,3.0449,7.2988,96.3712,NORMAL
1.0,42.2228,57.0931,42.0885,50.166,2.0386,57.3009,0.7148,16.6358,82.3013,91.4259,2.5874,92.1958,44.5598,12.7411,0.0,8.1543,17.3208,0.0,0.0,7.8042,4.9208,17.3208,93.6935,NORMAL
2.0,45.4025,57.4827,43.6912,50.9328,2.258,60.7466,0.8007,18.1585,83.5928,91.8699,2.6013,93.3149,47.4687,13.2779,0.0,9.0319,12.5256,0.0,0.0248,6.6851,4.2204,12.5256,94.7775,NORMAL
3.0,46.3305,56.5172,42.0853,49.7584,3.0528,65.6462,0.8163,17.3926,79.1204,94.4491,2.5738,92.0383,52.0874,13.5588,0.0,12.2112,7.3965,0.0,0.0,7.9617,4.1408,12.2112,94.8823,NORMAL
4.0,42.9274,57.3259,42.3435,50.2244,2.2122,62.9323,0.8157,23.4162,80.6822,90.9127,3.0616,93.4215,51.0667,11.8655,0.0,8.8489,27.3442,0.0,8.8773,6.5785,7.8157,27.3442,89.9967,NORMAL
5.0,44.4588,58.0597,42.6107,50.2269,2.7881,62.6734,0.7795,18.8415,85.2835,93.3042,2.4841,94.6878,49.614,13.0594,0.0,11.1524,14.9039,0.0,0.0,5.3122,4.7689,14.9039,94.0387,NORMAL
6.0,47.0569,59.5512,45.1988,49.5746,2.2578,68.8474,0.7679,22.3153,85.1024,93.9673,2.432,91.3819,54.2388,14.6086,0.0,9.031,11.4348,0.0,0.0,8.6181,4.2847,11.4348,94.8005,NORMAL
7.0,46.9995,60.7491,43.16,51.1409,2.6116,61.9345,0.8041,19.0374,81.8651,91.2979,2.4392,91.1713,47.8672,14.0674,0.0,10.4463,0.4202,0.0,0.0,8.8287,2.8983,10.4463,96.2659,NORMAL
8.0,47.947,57.1227,41.8131,51.1971,2.4364,63.1093,0.8125,20.1509,86.6922,91.0426,2.3938,92.2015,48.6522,14.4571,0.0,9.7455,6.3913,0.0,0.0,7.7985,3.5513,9.7455,95.6691,NORMAL
9.0,47.2646,59.3495,43.3774,51.2083,2.8929,66.5605,0.7938,17.193,80.2319,90.7055,2.7119,90.669,52.2105,14.35,0.0,11.5715,5.1198,0.0,2.1512,9.331,4.199,11.5715,94.8752,NORMAL
10.0,50.1351,57.726,42.2351,52.2194,2.2593,67.5149,0.7293,19.1448,80.2163,90.9913,2.7363,88.2712,50.4793,17.0356,0.0,9.0373,20.1345,0.0,2.6211,11.7288,6.3834,20.1345,92.0059,NORMAL
11.0,50.3917,59.6406,42.1753,52.1994,1.7924,68.2438,0.7614,20.663,85.4505,93.3142,2.6004,92.7345,51.6278,16.6159,0.0,7.1694,9.8658,0.0,0.0075,7.2655,3.5717,9.8658,95.639,NORMAL
12.0,49.7455,59.0095,43.4888,50.4424,1.8781,69.8932,0.7663,23.6167,87.0943,92.0488,2.7791,91.6976,53.7384,16.1548,0.0,7.5125,6.9402,0.0,3.4436,8.3024,3.8654,8.3024,95.4704,NORMAL
